text_a	label
， 女 性 ， 4 8 岁 ， 现 住 河 北 省 承 德 市 双 滦 区 ， 主 因 打 伤 后 头 痛 头 晕 ， 身 体 多 处 疼 痛 ， 渗 血 2 小 时 于 2 0 1 6 年 8 月 2 5 日 入 院	O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom B-Symptom I-Symptom O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O O O O O O O O O O
女 性 ， 7 8 岁 ， 河 北 承 德 人 ， 现 住 双 滦 区 西 地 新 村 ， 主 因 头 部 腰 部 外 伤 后 头 痛 头 晕 腰 痛 3 小 时 于 2 0 1 6 - 0 5 - 2 5 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O B-BodyPart I-BodyPart B-BodyPart I-BodyPart O O O B-Symptom I-Symptom B-Symptom I-Symptom B-Symptom I-Symptom O O O O O O O O O O O O O O O O O
; n b s p ;	O O O O O O
池 玉 芝 ， 女 ， 7 3 岁 ， 已 婚	O O O O O O O O O O O O
， 汉 族 ，	O O O O
河 北 省 承 德 市 双 滦 区 偏 桥 子 镇 老 沟 门 村 ， 主 因 ： 头 晕 、 颈 肩 部 酸 痛 1 0 年 ， 加 重 2 个 月 。	O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O
于 2 0 1 6 - 1 1 - 2 8 ， 0 8 ： 5 5 入 院 。	O O O O O O O O O O O O O O O O O O O O
青 年 男 性 ， 主 因 ： 外 伤 后 头 痛 、 头 晕 伴 周 身 疼 痛 1 小 时 。	O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O B-Symptom I-Symptom O O O O
于 2 0 1 6 - 0 3 - 2 2 , 1 1 : 2 9 入 院 。	O O O O O O O O O O O O O O O O O O O O
疼 痛 不 适 3 个 月 加 重 2 0 天 收 入 院 。	B-Symptom I-Symptom O O O O O O O O O O O O O O
5 小 时 于 2 0 1 7 - - 0 1 - - 2 3 收 入 院 。	O O O O O O O O O O O O O O O O O O O O
， 女 ， 4 岁 ， 河 北 省 承 德 市 双 滦 区 双 塔 山 镇 大 元 宝 山 村 2 组 人 ， 主 因 " 咳 嗽 、 咳 痰 3 天 ， 加 重 伴 发 热 1 天 " 于 2 0 1 6 年 1 2 月 1 5 日 1 2 : 0 3 以 支 气 管 肺 炎 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O
明 ， 女 性 ， 2 6 岁 ， 河 北 省 承 德 市 滦 平 县 人 ， 现 住 河 北 省 承 德 市 双 滦 区 御 水 花 园 ， 主 因 头 部 、 腹 部 双 下 肢 外 伤 后 疼 痛 6 小 时 于 2 0 1 7 - 0 1 - 1 4 日 2 2 : 5 6 分 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BodyPart I-BodyPart O B-BodyPart I-BodyPart B-BodyPart I-BodyPart I-BodyPart O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O
老 年 男 性 ， 主 因 ： 外 伤 后 左 臂 肿 胀 、 淤 青 1 天 。	O O O O O O O O O O O B-BodyPart I-BodyPart B-Symptom I-Symptom O B-Symptom I-Symptom O O O
于 2 0 1 6 年 0 4 年 2 1 日 2 2 ： 0 2 入 院 。	O O O O O O O O O O O O O O O O O O O O
; n b s p ;	O O O O O O
王 军 文 ， 男 ， 4 8 岁 已 婚 、 汉 族	O O O O O O O O O O O O O O
、 承 钢 工 人 ， 河 北 省 承 德 市 双 滦 区 西 地 家 属 区 2 1 号 楼 1 单 元 6 0 1 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
主 因 ： 腰 部 疼 痛 及 双 下 肢 酸 麻 2 个 月 ， 加 重 7 天 。	O O O B-BodyPart I-BodyPart B-Symptom I-Symptom O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O
于 2 0 1 6 - 1 0 - 2 4	O O O O O O O O O O O
， 1 0 : 1 7 入 院 。	O O O O O O O O O
， 男 ， 6 岁 ， 河 北 省 承 德 市 双 滦 区 偏 桥 子 镇 大 贵 口 村 人 ， 主 因 " 咳 嗽 、 咳 痰 伴 发 热 3 天 ， 腹 痛 1 天 " 于 2 0 1 6 年 1 2 月 1 8 日 1 0 : 2 9 以 1 、 急 性 化 脓 性 扁 桃 体 炎 2 、 急 性 支 气 管 炎 3 、 腹 痛 待 查 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O B-Symptom I-Symptom O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease I-Disease I-Disease I-Disease I-Disease O O B-Disease I-Disease I-Disease I-Disease I-Disease I-Disease O O B-Symptom I-Symptom O O O O O O
月 一 胎 不 规 律 腹 痛 9 小 时 未 见 红 及 破 水 于 2 0 1 6 年 4 月 2 2 日	O O O O O O B-Symptom I-Symptom O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O O O O O
9 : 4 0 入 院 。	O O O O O O O
， 男 ， 3 岁 ， 承 德 市 双 滦 区 偏 桥 子 镇 老 沟 门 村 人 ， 主 因 咳 嗽 、 咳 痰 ， 流 涕 ， 伴 发 热 4 天 于 2 0 1 6 - 1 2 - 0 5 1 1 : 1 0 以 支 气 管 肺 炎 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O B-Symptom I-Symptom O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O
; n b s p ; 张 立 春 男 3 3 岁 已 婚	O O O O O O O O O O O O O O O
汉 族	O O
河 北 省 承 德 市 双 滦 区 大 庙 镇 中 营 子 村 ， 主 因 于 腰 痛 7 年 余 ， 加 重 1 周 于 2 0 1 6 - 0 6 - 1 6	O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O
， 0 9 ： 4 0 收 入 院 。	O O O O O O O O O O
; n b s p ;	O O O O O O
张 立 军 男 4 3 岁 已 婚	O O O O O O O O O
汉 族	O O
河 北 省 承 德 市 双 滦 区 滦 河 镇 东 园 子 人 ， 现 住 滦 河 镇 东 园 子 ， 主 因 于 腰 痛 伴 活 动 受 限 1 周 于 2 0 1 6 - 0 9 - 0 8 ， 0 8 ： 4 8 收 入 院	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O
2 余 年 ， 加 重 1 0 余 天 于 2 0 1 7 - - 0 2 - - 1 0 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O
收 入 院 。	O O O O
别 女 ， 年 龄 3 岁 ， 学 龄 前 儿 童 ， 未 婚 ， 河 北 承 德 人 ， 现 居 双 滦 区 ， 主 因 发 现 右 手 拇 指 末 节 屈 曲 畸 形 1 年 于 2 0 1 6 - 8 - 4 ； 9 ： 3 0 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BodyPart I-BodyPart I-BodyPart I-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom I-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O
男 性 ， 5 1 岁 ， 承 德 市 丰 宁 满 族 自 治 县 人 。	O O O O O O O O O O O O O O O O O O O
主 因 后 背 部 疼 痛 2 0 余 天 于 2 0 1 6 年 1 1 月 2 0 日 1 3 : 4 2 入 院 。	O O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O
; n b s p ; 武 长 江 男 4 2 岁 已 婚	O O O O O O O O O O O O O O O
汉 族	O O
河 北 承 德 市 滦 平 县 人 ， 现 住 滦 平 县 安 纯 沟 门 乡 ， 主 因 腰 痛 伴 右 下 肢 麻 木 1 个 月 ， 加 重 3 天 于 2 0 1 6 - 0 2 - 2 3	O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O
1 3 ： 0 8 收 入 院 。	O O O O O O O O O
中 年 男 性 ， 5 5 岁 ， 主 因 ： 外 伤 后 头 痛 、 头 晕 、 心 慌 1 小 时 。	O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O
于 2 0 1 6 - 0 1 - 2 8 , 1 5 : 5 0 入 院 。	O O O O O O O O O O O O O O O O O O O O
， 女 ， 4 1 岁 ， 已 婚 ， 因 左 下 腹 疼 痛 反 复 发 作 3 8 天 ， 发 现 盆 腔 肿 物 1 个 月 于 2 0 1 6 - 0 5 - 1 5 ， 1 0 ： 3 0 入 院 。	O O O O O O O O O O O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O B-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O
男 、 3 9 岁 ， 承 德 市 双 滦 区 人 。	O O O O O O O O O O O O O O
主 因 上 腹 部 、 腰 部 疼 痛 1 天 入 院 。	O O B-BodyPart I-BodyPart I-BodyPart O B-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O
半 年 ， 加 重 1 周 于 2 0 1 7 年 2 月 1 5 日 入 院 。	O O O O O O O O O O O O O O O O O O O O O
， 7 1 岁 ， 现 住 双 滦 区 小 三 岔 口 村 ， 主 因 发 作 性 头 晕 2 0 余 年 ， 加 重 3 天 ， 于 2 0 1 6 - 5 - 2 8 ， 2 0 ： 4 1 入 院 。	O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
侧 腹 部 疼 痛 2 天 于 2 0 1 6 - - 1 0 - - 1 7 收 入 院 。	B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O
， 5 岁 ， 河 北 省 承 德 市 双 滦 区 锦 绣 城 5 区 4 号 楼 3 0 2 人 ， 主 因 " 咳 嗽 ， 咳 痰 6 天 ， 伴 发 热 4 天 ， 加 重 1 天 " 于 2 0 1 7 年 1 月 4 日 1 ： 1 0 急 诊 以 支 气 管 肺 炎 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O
中 年 男 性 ， 4 8 岁 ， 主 因 ： 腹 痛 、 腹 胀 7 天 ， 停 止 排 气 排 便 3 天 。	O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O O B-BodyPart O O O
于 2 0 1 6 - 2 - 2 5 ， 2 2 ： 4 0 入 院 。	O O O O O O O O O O O O O O O O O O O
; n b s p ;	O O O O O O
刘 志 江 男 6 2 岁 已 婚	O O O O O O O O O
汉 族	O O
河 北 承 德 市 人 ， 现 住 双 滦 区 矿 机 ， 主 因 腰 痛 伴 右 下 肢 麻 木 1 个 月 ， 加 重 3 天 于 2 0 1 6 - 0 3 - 1 4	O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O
0 8 ： 5 7 收 入 院 。	O O O O O O O O O
男 性 ， 6 2 岁 ， 承 德 市 双 滦 区 怡 园 路 运 输 部 3 号 楼 6 0 1 室 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O
主 因 发 作 性 头 痛 、 头 晕 2 年 ， 加 1 天 ， 于 2 0 1 6 - 0 7 - 2 6	O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O
1 0 ： 0 9 入 院 。	O O O O O O O O
开 放 伤 术 后 3 0 分 钟 于 2 0 1 6 - 1 1 - 1 6	O O O O O O O O O O O O O O O O O O O O
1 2 : 1 1 入 院 。	O O O O O O O O
伤 后 疼 痛 ， 肿 胀 ， 活 动 受 限 3 小 时 于 2 0 1 6 - 2 - 1 8 ； 2 2 ： 1 0 入 院 。	O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O
， 男 ， 2 岁 7 月 ， 河 北 省 承 德 市 双 滦 区 西 地 乡 肖 店 村 ， 主 因 腹 痛 5 天 伴 呕 吐 3 次 于 2 0 1 6 年 1 1 月 2 3 日 1 2 : 2 5 门 诊 以 肠 系 膜 淋 巴 结 炎 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease I-Disease I-Disease O O O O
， 5 5 岁 ， 未 婚 ， 主 因 ： 外 伤 致 右 手 掌 肿 胀 4 天 ， 于 2 0 1 6 - 0 2 - 2 5 , 1 7 : 1 5 入 院 。	O O O O O O O O O O O O O O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O
、 右 手 部 疼 痛 1 . 5 小 时 于 2 0 1 6 - 1 0 - 1 7 ； 1 6 ： 1 0 入 院 。	O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O
1 个 月 。	O O O O
， 女 ， 2 岁 ， 河 北 省 承 德 市 双 滦 区 偏 桥 子 镇 长 北 沟 村 人 ， 主 因 " 咳 嗽 、 咳 痰 4 天 ， 加 重 伴 发 热 3 天 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O B-Symptom I-Symptom O O O
" 于 2 0 1 6 年 1 2 月 3 0 日 1 4 ： 1 0 以 左 肺 肺 炎 收 入 院 。	O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease O O O O
， 2 岁 ， 河 北 省 承 德 市 双 滦 区 偏 桥 子 镇 大 贵 口 村 人 ， 主 因 " 咳 嗽 ， 咳 痰 6 天 ， 伴 发 热 4 天 " 于 2 0 1 7 年 1 月 6 日 1 8 ： 2 9 门 诊 以 支 气 管 肺 炎 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O
老 年 男 性 ， 主 因 ： 腹 痛 、 腹 胀 ， 停 止 排 气 排 便 1 天 ， 于 2 0 1 6 - 0 5 - 1 5 ， 1 5 ： 0 7 入 院 。	O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
肿 胀 疼 痛 1 周 于 2 0 1 7 - - 0 3 - - 1 0 收 入 院 。	B-Symptom I-Symptom B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O
， 男 ， 5 岁 ， 河 北 省 承 德 市 双 滦 区 西 地 乡 烧 锅 村 1 组 人 ， 主 因 " 咳 嗽 、 咳 痰 半 月 余 ， 加 重 伴 发 热 1 天 " 于 2 0 1 6 年 1 2 月 0 9 日 1 2 : 1 2 以 支 气 管 肺 炎 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O
女 性 ， 5 9 岁 ， 现 住 双 滦 区 双 塔 山 ， 主 因 间 断 咳 嗽 、 咳 痰 、 喘 憋 6 年 ， 加 重 3 天 于 2 0 1 6 - 1 0 - 2 3	O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O
1 1 ： 5 8 入 院 。	O O O O O O O O
p ; n b s p ;	O O O O O O O
祁 宝 仓 男 6 8 岁 汉 族	O O O O O O O O O
已 婚	O O
现 住 双 滦 区 偏 桥 子 村	O O O O O O O O O
主 因 右 侧 肢 体 麻 木 无 力 1 天 于 2 0 1 6 - 3 - 7	O O B-BodyPart I-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom B-Symptom I-Symptom O O O O O O O O O O O
1 1 ： 1 9 入 院 。	O O O O O O O O
， 女 ， 3 岁 ， 承 德 市 双 滦 区 西 地 乡 孙 营 村 人 。	O O O O O O O O O O O O O O O O O O O O
主 因 尿 频 、 尿 痛 4 天 ， 加 重 1 天 门 诊 于 2 0 1 6 年 1 2 月 2 3 日 1 3 : 2 8 以 泌 尿 系 感 染 收 入 院 。	O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O
， 女 ， 2 岁 ， 河 北 省 承 德 市 双 滦 区 西 地 乡 冯 营 子 村 人 ， 主 因 " 咳 嗽 、 咳 痰 1 周 ， 加 重 伴 发 热 3 天 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O B-Symptom I-Symptom O O O
" 于 2 0 1 7 年 1 月 0 5 日 1 2 ： 0 9 以 急 性 支 气 管 炎 收 入 院 。	O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease I-Disease O O O O
; n b s p ; 杨 玉 才 男 8 5 岁 已 婚	O O O O O O O O O O O O O O O
汉 族	O O
河 北 承 德 双 滦 区 人 ， 现 住 金 色 家 园 ， 主 因 头 晕 1 0 余 年 ， 加 重 1 个 月 于 2 0 1 6 - 0 2 - 2 3	O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O
0 8 : 3 1 收 入 院 。	O O O O O O O O O
， 男 ， 1 岁 ， 河 北 省 承 德 市 双 滦 区 宝 鼎 花 园 2 期 2 号 楼 2 0 0 6 室 人 ， 主 因 " 发 热 4 天 ， 咳 嗽 2 天 " 于 2 0 1 6 年 1 2 月 2 8 日 1 1 ： 1 8 门 诊 以 支 气 管 肺 炎 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O
b s p ; 头 部 双 上 肢 外 伤 后 疼 痛 头 晕 3 小 时 于 2 0 1 6 - - 1 0 - - 1	O O O O B-BodyPart I-BodyPart B-BodyPart I-BodyPart I-BodyPart O O O B-Symptom I-Symptom B-Symptom I-Symptom O O O O O O O O O O O O O O O
1 4 ： 5 0 收 入 院	O O O O O O O O
， 中 年 男 性 ， 3 2 岁 ， 生 于 河 北 省 承 德 市 ， 现 住 河 北 省 承 德 市 ， 主 因 左 肘 关 节 屈 曲 畸 形 1 4 个 月 于 2 0 1 6 年 0 7 月 1 2 日	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BodyPart I-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom I-Symptom I-Symptom O O O O O O O O O O O O O O O O
1 1 : 1 0 入 院 。	O O O O O O O O
疼 痛 1 天 于 2 0 1 6 - - 0 9 - - 1 6	B-Symptom I-Symptom O O O O O O O O O O O O O O O
1 2 : 5 0 收 入 院	O O O O O O O O
， 男 ， 9 岁 ， 河 北 省 承 德 市 双 滦 区 荣 信 都 市 花 园 4 号 楼 2 单 元 ， 主 因 发 热 伴 轻 咳 3 天 ， 抽 搐 1 次 门 诊 于 2 0 1 6 年 1 1 月 3 0 日 1 6 : 2 8 以 1 、 急 性 上 呼 吸 道 感 染 2 、 抽 搐 待 查 收 入 院 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease I-Disease I-Disease I-Disease O O B-Symptom I-Symptom O O O O O O
男 性 ， 6 9 岁 ， 承 德 市 双 滦 区 单 塔 子 村 人 。	O O O O O O O O O O O O O O O O O O O
主 因 慢 性 咳 嗽 、 咳 痰 、 喘 憋 3 0 余 年 ， 加 重 2 0 余 天 于 2 0 1 7 年 0 2 月 1 1 日 1 1 : 2 3 入 院 。	O O O O B-Symptom I-Symptom O B-Symptom I-Symptom O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
尿 管 结 石 1 个 月 要 求 手 术 于 2 0 1 7 - 2 - 2 4 收 入 院 。	B-Disease I-Disease I-Disease I-Disease O O O O O O O O O O O O O O O O O O O O O
， 男 ， 6 岁 ， 双 滦 区 宝 鼎 花 园 1 期 1 2 号 5 0 3 人 。	O O O O O O O O O O O O O O O O O O O O O O O
主 因 咳 嗽 、 咳 痰 ， 伴 发 热 3 天 于 2 0 1 6 年 1 2 月 2 8 日 1 4 : 3 4 门 诊 以 肺 炎 收 入 院 。	O O B-Symptom I-Symptom O B-Symptom I-Symptom O O B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease O O O O
内 疼 痛 4 天 入 院 。	O B-Symptom I-Symptom O O O O O
老 年 女 性 ， 8 1 岁 。	O O O O O O O O O
主 因 被 他 人 拥 倒 于 地 摔 伤 头 部 及 右 侧 肢 体 2 小 时 伴 头 痛 头 晕 。	O O O O O O O O O O O B-BodyPart I-BodyPart O B-BodyPart I-BodyPart I-BodyPart I-BodyPart O O O O B-Symptom I-Symptom B-Symptom I-Symptom O
于 2 0 1 6 - 0 6 - 2 7 日 1 2 ： 1 6 分 入 院 。	O O O O O O O O O O O O O O O O O O O O O
; n b s p ;	O O O O O O
陈 玉 芹 , 女 , 5 9 岁 , 已 婚	O O O O O O O O O O O O
, 满 族 ,	O O O O
河 北 省 承 德 市 双 滦 区 陈 栅 子 乡 太 阳 沟 村 人 。	O O O O O O O O O O O O O O O O O O O
主 因 ： 颈 肩 部 疼 痛 2 年 ， 于 2 0 1 6 - 1 1 - 0 3	O O O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O O O O O
， 0 9 ： 2 1 入 院 。	O O O O O O O O O
; n b s p ;	O O O O O O
刘 志 刚 ， 男 性 ， 3 6 岁 ， 已 婚	O O O O O O O O O O O O O
， 汉 族 ， 河 北 承 德 双 滦 区 双 塔 山 镇 大 元 宝 山 村 人 。	O O O O O O O O O O O O O O O O O O O O O O
主 因 ： 腰 部 疼 痛 伴 双 下 肢 麻 痛 6 个 月 ， 加 重 1 个 月 。	O O O B-BodyPart I-BodyPart B-Symptom I-Symptom O B-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom O O O O O O O O O O
于 2 0 1 6 - 1 2 - 7 ， 0 9 : 0 4 入 院 。	O O O O O O O O O O O O O O O O O O O
， 女 性 ， 8 6 岁 ， 汉 族 ， 丧 偶 ， 现 住 双 滦 区 陈 栅 子 乡 塔 子 沟 村 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
主 因 左 侧 肢 体 活 动 不 灵 1 天 于 2 0 1 6 - 4 - 4	O O B-BodyPart I-BodyPart I-BodyPart I-BodyPart B-Symptom I-Symptom I-Symptom I-Symptom O O O O O O O O O O O
1 4 ： 0 3 入 院 。	O O O O O O O O
女 性 ， 8 8 岁 ， 农 民 ， 双 滦 区 应 营 子 村 人 ， 主 因 右 髋 部 摔 伤 后 疼 痛 肿 胀 ， 活 动 受 限 5 小 时 于 2 0 1 6 - 1 0 - 2 9 ； 1 1 ： 1 2 入 院 。	O O O O O O O O O O O O O O O O O O O O O B-BodyPart I-BodyPart I-BodyPart O O O B-Symptom I-Symptom B-Symptom I-Symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O
， 男 ， 7 7 岁 ， 汉 族 ， 已 婚 ， 农 民 ， 河 北 承 德 双 滦 区 白 庙 子 村 人 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
病 史 陈 述 者 ： 患 者 本 人 及 家 属 ， 可 靠 程 度 ： 可 靠 。	O O O O O O O O O O O O O O O O O O O O O O
